"covariateId","covariateName","analysisId","conceptId","covariateValue"
14003,"age group:  70 -  74",3,0,1.54182103337421
374009212,"condition_era group during day -30 through 0 days relative to index: Organic mental disorder",212,374009,1.2287521388881
374377210,"condition_era group during day -365 through 0 days relative to index: Paralytic syndrome",210,374377,1.2058209654915
141253104,"condition_occurrence during day -30 through 0 days relative to index: Disorder of thyroid gland",104,141253,1.17994337544592
13003,"age group:  65 -  69",3,0,1.16792392616274
21601779413,"drug_era group during day 0 through 0 days relative to index: CALCIUM CHANNEL BLOCKERS AND DIURETICS",413,21601779,1.11918851783107
4133611212,"condition_era group during day -30 through 0 days relative to index: Traumatic AND/OR non-traumatic brain injury",212,4133611,0.916348031812382
11003,"age group:  55 -  59",3,0,0.882570203332864
21600531413,"drug_era group during day 0 through 0 days relative to index: DRUGS FOR CONSTIPATION",413,21600531,0.877842081384345
378419104,"condition_occurrence during day -30 through 0 days relative to index: Alzheimer's disease",104,378419,0.826995152200624
10003,"age group:  50 -  54",3,0,0.817890280434222
435783212,"condition_era group during day -30 through 0 days relative to index: Schizophrenia",212,435783,0.711054786778524
43021805104,"condition_occurrence during day -30 through 0 days relative to index: Obsessional personality disorder",104,43021805,0.685587118209021
444100212,"condition_era group during day -30 through 0 days relative to index: Mood disorder",212,444100,0.612613289555659
437312212,"condition_era group during day -30 through 0 days relative to index: Bleeding",212,437312,0.603717490997649
444108212,"condition_era group during day -30 through 0 days relative to index: Finding related to sleep",212,444108,0.597431831713159
4181063212,"condition_era group during day -30 through 0 days relative to index: Inflammation of specific body organs",212,4181063,0.584472060515887
2003,"age group:  10 -  14",3,0,-0.582188465347204
9003,"age group:  45 -  49",3,0,0.545297969875059
4004672212,"condition_era group during day -30 through 0 days relative to index: Psychoactive substance use disorder",212,4004672,0.508602320619833
4151170210,"condition_era group during day -365 through 0 days relative to index: Moderate depression",210,4151170,-0.437845108551342
432867104,"condition_occurrence during day -30 through 0 days relative to index: Hyperlipidemia",104,432867,0.422016013091474
4102985102,"condition_occurrence during day -365 through 0 days relative to index: Nonorganic insomnia",102,4102985,-0.409547423911521
